id,price,log1_price,latitude,longitude,distance_to_city_center_km,neighbourhood_cleansed,property_type_clean,room_type,accommodates,bedrooms,bedrooms_missing,beds,beds_missing,bathroom_count,bathroom_privacy,bathroom_information_missing,has_license,amenity_count,has_wifi,has_kitchen,has_parking,has_washer,has_air_conditioning,has_workspace,has_balcony,has_dryer,has_elevator,has_smoke_alarm,allows_pets
1805167,54.0,4.007333185232471,48.20489,11.59621,7.663153066812934,Schwabing-Freimann,house_like,Private room,6,1.0,0,0.0,0,1.0,shared,0,0,11,1,0,1,1,0,0,0,0,0,1,0
1865548,361.0,5.891644211825771,48.14333,11.55844,1.4243989700267357,Maxvorstadt,apartment_like,Entire home/apt,8,3.0,0,5.0,0,1.0,unspecified,0,0,45,1,1,1,1,0,0,1,0,1,1,0
1933035,83.0,4.430816798843313,48.20263,11.57577,7.255510235205874,Milbertshofen-Am Hart,house_like,Private room,2,1.0,0,2.0,0,1.0,shared,0,0,31,1,0,1,1,0,0,1,1,0,1,0
1993742,149.0,5.0106352940962555,48.14898,11.57261,1.3068406837086926,Maxvorstadt,apartment_like,Entire home/apt,2,1.0,0,2.0,0,1.0,unspecified,0,0,46,1,1,1,1,0,1,0,1,0,1,0
2003416,126.0,4.844187086458591,48.11523,11.56705,2.540470151754664,Untergiesing-Harlaching,apartment_like,Entire home/apt,2,0.0,0,2.0,0,1.0,unspecified,0,0,17,1,1,0,1,0,0,0,1,1,1,0
2094923,240.0,5.484796933490655,48.12638092041016,11.59037971496582,1.6507911065217324,Au-Haidhausen,apartment_like,Entire home/apt,2,0.0,0,1.0,0,1.0,unspecified,0,0,58,1,1,1,1,0,1,1,0,1,1,0
2251998,129.0,4.867534450455582,48.12072,11.60151,2.6787014154529896,Ramersdorf-Perlach,apartment_like,Private room,2,1.0,0,1.0,0,1.0,private,0,0,21,1,0,1,0,0,1,0,0,1,1,0
2257931,149.0,5.0106352940962555,48.13021,11.56335,1.20025749777004,Ludwigsvorstadt-Isarvorstadt,apartment_like,Entire home/apt,2,1.0,0,1.0,0,1.0,unspecified,0,0,2,1,1,0,0,0,0,0,0,0,0,0
2286506,585.0,6.373319789577012,48.16386,11.6488,6.187774307002916,Bogenhausen,apartment_like,Entire home/apt,7,3.0,0,4.0,0,3.0,unspecified,0,0,52,1,1,1,0,0,0,1,0,0,1,1
2331422,83.0,4.430816798843313,48.11823,11.47098,8.040065675063207,Hadern,apartment_like,Private room,1,0.0,0,1.0,0,1.0,private,0,0,13,1,1,1,0,0,0,0,0,0,1,0
2377342,60.0,4.110873864173311,48.11313,11.65931,6.784006821406973,Tudering-Riem,house_like,Private room,1,1.0,0,1.0,0,1.5,shared,0,0,32,1,1,0,1,0,1,0,0,0,1,1
2398709,55.0,4.02535169073515,48.17809,11.58018,4.540379224105706,Milbertshofen-Am Hart,apartment_like,Entire home/apt,2,0.0,0,1.0,0,1.0,unspecified,0,0,27,1,1,0,1,0,0,1,1,1,1,0
2416149,79.0,4.382026634673881,48.17211,11.49405,7.166972111792194,Moosach,apartment_like,Entire home/apt,2,1.0,0,1.0,0,1.0,unspecified,0,0,9,1,1,1,1,0,0,0,0,0,1,0
2423396,261.0,5.568344503761097,48.13287,11.58074,0.6373237923257355,Ludwigsvorstadt-Isarvorstadt,apartment_like,Entire home/apt,2,0.0,0,1.0,0,1.0,unspecified,0,0,26,1,1,1,1,0,1,1,0,0,1,1
2445514,75.0,4.330733340286331,48.13526,11.50273,5.400746105039716,Laim,apartment_like,Private room,2,1.0,0,1.0,0,1.5,shared,0,0,16,1,1,1,1,0,0,0,0,0,1,0
2445882,209.0,5.3471075307174685,48.16191,11.5743,2.7289224169021074,Schwabing-West,apartment_like,Entire home/apt,4,2.0,0,3.0,0,1.5,unspecified,0,0,29,1,1,0,1,0,1,1,0,1,1,0
2452832,360.0,5.8888779583328805,48.14416,11.55974,1.387615843450483,Maxvorstadt,apartment_like,Entire home/apt,2,1.0,0,1.0,0,1.0,unspecified,0,0,34,1,1,1,0,0,0,0,0,1,1,0
2490419,80.0,4.394449154672439,48.16346,11.59341,3.1917142218808214,Schwabing-Freimann,apartment_like,Private room,3,2.0,0,2.0,0,1.5,shared,0,0,23,1,1,0,1,0,1,0,1,0,1,0
2512391,640.0,6.46302945692067,48.15183,11.57603,1.6073628893947496,Maxvorstadt,apartment_like,Private room,1,1.0,0,1.0,0,1.5,unspecified,0,0,38,1,0,1,1,0,1,1,1,1,1,0
2540597,95.0,4.564348191467836,48.20053,11.55125,7.247488927389338,Feldmoching-Hasenbergl,house_like,Private room,2,1.0,0,1.0,0,1.0,private,0,0,43,1,1,1,1,0,1,1,1,0,1,0
2544224,127.0,4.852030263919617,48.13013,11.59917,1.936775736523405,Au-Haidhausen,apartment_like,Entire home/apt,4,1.0,0,2.0,0,1.0,unspecified,0,0,62,1,1,1,1,0,1,1,1,1,1,0
2575669,56.0,4.04305126783455,48.11188,11.5078,5.765884951655902,Sendling-Westpark,apartment_like,Private room,2,1.0,0,1.0,0,1.0,shared,0,0,41,1,1,1,1,0,1,1,0,0,1,1
2602887,85.0,4.454347296253507,48.15227,11.62811,4.244118161964145,Bogenhausen,apartment_like,Entire home/apt,2,1.0,0,1.0,0,1.0,unspecified,0,0,15,1,1,1,1,0,0,0,1,1,1,0
